Date,Open,High,Low,Close,Adj Close,Volume
2019-02-01,124.889999,127.209999,123.190002,123.989998,123.989998,141982900
2019-03-01,123.480003,125.110001,121.029999,122.010002,122.010002,168879600
2019-04-01,122.400002,123.769997,119.550003,121.199997,121.199997,124262100
2019-05-01,121.029999,123.400002,119.540001,123.330002,123.330002,140574200
2019-06-01,124.089996,135.550003,123.900002,133.199997,133.199997,205599200
2019-07-01,131.559998,136.630005,130.550003,133.210007,133.210007,226367100
2019-08-01,132.419998,145.679993,132.309998,143.750000,143.750000,322877500
2019-09-01,144.960007,146.820007,138.029999,138.869995,138.869995,233678500
2019-10-01,138.070007,143.250000,137.800003,142.429993,142.429993,178417600
2019-11-01,142.210007,142.899994,136.190002,137.860001,137.860001,139229300
2019-12-01,137.320007,143.600006,137.300003,142.899994,142.899994,121345200
2020-01-01,143.860001,149.679993,143.399994,149.330002,149.330002,194652300
2020-02-01,148.660004,158.529999,145.800003,148.380005,148.380005,254781400
2020-03-01,150.000000,159.369995,136.119995,148.050003,148.050003,457459900
2020-04-01,148.199997,164.419998,147.850006,158.800003,158.800003,260294400
2020-05-01,158.000000,164.960007,157.800003,162.910004,162.910004,235361000
2020-06-01,162.919998,167.990005,157.039993,167.369995,167.369995,222122700
2020-07-01,167.050003,186.139999,165.339996,185.429993,185.429993,305156400
2020-08-01,185.050003,194.449997,179.039993,184.830002,184.830002,389593200
2020-09-01,186.990005,186.990005,173.770004,177.119995,177.119995,219862100
2020-10-01,178.710007,181.309998,174.830002,176.199997,176.199997,172289000
2020-11-01,177.449997,183.529999,166.029999,166.669998,166.669998,222246500
2020-12-01,169.759995,178.399994,169.300003,178.360001,178.360001,177576400
2021-01-01,181.970001,183.210007,170.979996,172.610001,172.610001,210951400
2021-02-01,175.020004,175.259995,160.949997,161.809998,161.809998,181008600
2021-03-01,163.029999,164.149994,157.130005,159.960007,159.960007,214111100
2021-04-01,161.559998,168.389999,161.279999,165.660004,165.660004,143030700
2021-05-01,167.610001,178.610001,165.500000,178.380005,178.380005,199082500
2021-06-01,178.759995,178.850006,164.009995,165.630005,165.630005,207522500
2021-07-01,166.649994,171.520004,165.500000,169.820007,169.820007,145195500
2021-08-01,169.300003,171.399994,160.679993,169.690002,169.690002,165504300
2021-09-01,169.940002,171.550003,160.970001,164.220001,164.220001,160613200
2021-10-01,164.270004,169.539993,163.470001,166.649994,166.649994,136138300
2021-11-01,167.380005,174.669998,164.380005,165.500000,165.500000,162163400
2021-12-01,166.839996,171.039993,163.800003,170.960007,170.960007,151214100
2022-01-01,168.860001,173.149994,166.369995,168.089996,168.089996,211125100
2022-02-01,168.570007,182.600006,167.029999,178.380005,178.380005,254601300
2022-03-01,179.050003,193.300003,176.690002,180.649994,180.649994,377087100
2022-04-01,179.550003,186.100006,175.500000,176.910004,176.910004,195348400
2022-05-01,173.610001,177.610001,168.009995,171.139999,171.139999,179911400
2022-06-01,172.210007,174.940002,168.240005,168.460007,168.460007,145735200
2022-07-01,167.139999,168.679993,158.029999,164.100006,164.100006,134877000
2022-08-01,164.979996,167.979996,159.259995,159.270004,159.270004,110217900
2022-09-01,158.169998,161.619995,151.029999,154.669998,154.669998,139879400
2022-10-01,155.440002,161.080002,151.270004,151.910004,151.910004,118402700
2022-11-01,153.820007,166.229996,150.570007,164.809998,164.809998,114967900
2022-12-01,167.479996,170.610001,164.320007,169.639999,169.639999,106815500
2023-01-01,171.320007,181.220001,169.789993,179.410004,179.410004,118786700
2023-02-01,179.750000,181.729996,168.190002,169.779999,169.779999,113802300
2023-03-01,170.949997,186.240005,168.520004,183.220001,183.220001,223186600
2023-04-01,183.850006,190.410004,183.220001,184.800003,184.800003,170988100
2023-05-01,186.050003,191.360001,180.089996,182.320007,182.320007,182178000
2023-06-01,182.809998,184.210007,175.789993,178.270004,178.270004,133963100
2023-07-01,178.610001,184.229996,176.660004,182.350006,182.350006,99846800
2023-08-01,180.850006,181.380005,174.929993,180.020004,180.020004,140381800
2023-09-01,180.800003,181.119995,171.270004,171.449997,171.449997,122794800
2023-10-01,170.229996,186.360001,168.300003,184.089996,184.089996,222519000
2023-11-01,183.910004,189.990005,179.110001,188.750000,188.750000,143756500
2023-12-01,188.809998,193.179993,183.149994,191.169998,191.169998,153596100
2024-01-01,191.440002,191.889999,185.449997,187.929993,187.929993,81000200
2024-01-19,188.259995,188.270004,187.440002,187.929993,187.929993,5719650
