Date,Open,High,Low,Close,Adj Close,Volume
2019-01-21,51.250000,55.689999,50.060001,54.980000,52.559475,27227800
2019-01-28,54.889999,58.000000,54.889999,57.130001,54.614830,25342900
2019-02-04,57.200001,58.770000,56.639999,57.650002,55.111938,21145300
2019-02-11,58.070000,58.740002,57.150002,57.700001,55.159737,21669100
2019-02-18,57.349998,58.160000,53.470001,53.619999,51.259357,27015600
2019-02-25,53.910000,56.959999,53.310001,54.340000,51.947662,41376000
2019-03-04,54.220001,54.560001,51.320000,51.770000,49.490803,25053000
2019-03-11,49.900002,51.779999,48.580002,51.369999,49.254810,42342800
2019-03-18,51.340000,51.720001,49.299999,49.320000,47.289230,24731700
2019-03-25,49.259998,52.099998,48.500000,51.910000,49.772579,30433500
2019-04-01,52.270000,53.730000,52.020000,53.250000,51.057404,19155300
2019-04-08,52.259998,53.639999,51.380001,53.130001,50.942352,20318500
2019-04-15,53.060001,53.630001,51.900002,52.180000,50.031467,11378700
2019-04-22,51.860001,54.860001,51.459999,52.980000,50.798515,21701000
2019-04-29,52.990002,54.610001,52.740002,53.619999,51.412170,15810600
2019-05-06,52.810001,53.610001,51.180000,52.740002,50.568413,15980100
2019-05-13,51.770000,53.009998,50.709999,52.240002,50.088997,14337700
2019-05-20,51.779999,53.520000,50.360001,51.150002,49.043877,17071700
2019-05-27,50.730000,50.930000,47.439999,47.599998,45.640053,15135900
2019-06-03,47.599998,50.959999,47.400002,50.369999,48.295990,20318200
2019-06-10,50.849998,52.750000,50.270000,51.820000,49.874138,15315500
2019-06-17,51.610001,52.459999,50.889999,51.250000,49.325542,18400900
2019-06-24,51.459999,51.610001,50.349998,50.779999,48.873184,19007900
2019-07-01,51.200001,52.250000,51.029999,51.880001,49.931885,11090100
2019-07-08,51.599998,52.810001,51.410000,52.509998,50.538223,14248100
2019-07-15,52.349998,53.790001,51.900002,52.020000,50.066628,17760200
2019-07-22,52.310001,55.939999,52.270000,53.250000,51.250439,26243200
2019-07-29,53.150002,53.689999,50.250000,50.619999,48.719196,19296300
2019-08-05,50.000000,50.799999,48.400002,50.450001,48.555584,18251200
2019-08-12,50.020000,50.950001,48.090000,49.790001,47.920368,14939200
2019-08-19,50.330002,51.939999,49.730000,50.560001,48.661449,16095800
2019-08-26,50.939999,53.189999,50.119999,52.320000,50.534985,15869300
2019-09-02,51.889999,53.150002,50.910000,52.139999,50.361130,13474700
2019-09-09,52.139999,56.349998,51.820000,55.790001,53.886608,19184100
2019-09-16,54.389999,56.490002,54.060001,54.490002,52.630951,24601300
2019-09-23,54.349998,55.340000,53.959999,54.340000,52.486073,14120800
2019-09-30,54.400002,54.900002,51.189999,52.790001,50.988953,19908200
2019-10-07,53.000000,54.610001,52.410000,53.919998,52.080402,16080300
2019-10-14,53.720001,54.779999,53.450001,53.480000,51.655415,21340100
2019-10-21,54.310001,57.099998,52.290001,56.740002,54.804195,31978900
2019-10-28,56.919998,57.900002,55.730000,56.259998,54.340569,15714400
2019-11-04,56.529999,58.500000,56.369999,58.180000,56.195065,13296600
2019-11-11,58.009998,58.410000,57.080002,57.790001,55.818371,10475600
2019-11-18,57.680000,58.049999,56.259998,57.009998,55.064980,11090600
2019-11-25,57.200001,57.950001,56.840000,57.639999,55.673489,7467200
2019-12-02,57.599998,57.799999,55.490002,55.939999,54.031487,15074700
2019-12-09,55.810001,55.939999,53.810001,54.150002,52.302555,16980200
2019-12-16,54.549999,55.110001,53.430000,54.630001,52.937962,22843600
2019-12-23,54.810001,56.090000,54.060001,54.320000,52.637566,14451200
2019-12-30,54.320000,54.869999,53.040001,54.349998,52.666637,12826500
2020-01-06,53.689999,54.820000,53.480000,53.939999,52.269337,19203100
2020-01-13,53.939999,55.680000,53.610001,55.009998,53.306190,20013500
2020-01-20,54.630001,56.560001,51.849998,56.549999,54.798496,26836700
2020-01-27,55.230000,58.189999,54.630001,54.980000,53.277122,31865100
2020-02-03,55.410000,58.009998,54.689999,57.259998,55.486500,17888800
2020-02-10,57.200001,58.830002,56.529999,57.970001,56.174515,12848500
2020-02-17,58.000000,58.340000,55.459999,56.529999,54.779114,10471100
2020-02-24,54.869999,54.990002,44.980000,46.189999,44.759373,48383300
2020-03-02,46.540001,48.389999,42.720001,45.730000,44.313618,46854500
2020-03-09,42.889999,45.849998,35.610001,41.279999,40.155396,60140300
2020-03-16,36.500000,40.689999,29.150000,31.940001,31.069853,68873500
2020-03-23,31.690001,43.560001,30.250000,36.380001,35.388889,56050300
2020-03-30,35.520000,37.470001,29.730000,30.540001,29.707993,41552700
2020-04-06,31.790001,37.310001,30.000000,36.470001,35.476440,47131000
2020-04-13,36.720001,36.720001,30.200001,31.190001,30.340282,75958600
2020-04-20,30.639999,31.480000,28.799999,29.330000,28.530958,69502300
2020-04-27,29.790001,31.799999,28.250000,29.230000,28.433681,268184700
2020-05-04,27.230000,28.129999,24.770000,27.200001,26.458984,160752700
2020-05-11,26.620001,26.860001,22.469999,23.870001,23.219704,102505400
2020-05-18,25.750000,30.120001,25.549999,28.870001,28.083488,129890600
2020-05-25,31.709999,35.160000,31.200001,32.099998,31.225491,130619100
2020-06-01,32.299999,42.349998,32.160000,38.180000,37.139851,178857200
